,PERMNO
1466,11824
1467,11825
1468,11826
1469,11827
1470,11828
1471,11829
1472,11831
1473,11832
1474,11833
1475,11835
1476,11837
1477,11838
1478,11839
1479,11840
1480,11843
1481,11844
1482,11845
1483,11847
1484,11849
1485,11850
1486,11851
1487,11852
1488,11853
1489,11854
1490,11856
1491,11857
1492,11858
1493,11859
1494,11860
1495,11861
1496,11862
1497,11863
1498,11864
1499,11865
1500,11866
1501,11868
1502,11870
1503,11871
1504,11872
1505,11873
1506,11874
1507,11876
1508,11878
1509,11879
1510,11880
1511,11881
1512,11882
1513,11883
1514,11884
1515,11886
1516,11887
1517,11888
1518,11889
1519,11890
1520,11891
1521,11892
1522,11895
1523,11896
1524,11897
1525,11898
1526,11899
1527,11900
1528,11901
1529,11902
1530,11903
1531,11904
1532,11908
1533,11910
1534,11911
1535,11912
1536,11913
1537,11915
1538,11916
1539,11917
1540,11918
1541,11919
1542,11921
1543,11923
1544,11924
1545,11925
1546,11926
1547,11927
1548,11928
1549,11929
1550,11931
1551,11932
1552,11933
1553,11934
1554,11935
1555,11936
1556,11937
1557,11938
1558,11939
1559,11940
1560,11941
1561,11943
1562,11944
1563,11945
1564,11946
1565,11947
1566,11948
1567,11949
1568,11950
1569,11951
1570,11952
1571,11953
1572,11954
1573,11955
1574,11956
1575,11958
1576,11959
1577,11960
1578,11961
1579,11962
1580,11963
1581,11964
1582,11967
1583,11968
1584,11970
1585,11971
1586,11974
1587,11975
1588,11976
1589,11977
1590,11978
1591,11981
1592,11982
1593,11983
1594,11985
1595,11987
1596,11990
1597,11991
1598,11992
1599,11993
1600,11994
1601,11995
1602,11997
1603,11998
1604,11999
1605,12000
1606,12002
1607,12003
1608,12005
1609,12006
1610,12007
1611,12008
1612,12009
1613,12010
1614,12011
1615,12012
1616,12014
1617,12015
1618,12016
1619,12017
1620,12018
1621,12020
1622,12021
1623,12022
1624,12023
1625,12024
1626,12025
1627,12026
1628,12027
1629,12030
1630,12031
1631,12032
1632,12033
1633,12036
1634,12038
1635,12040
1636,12041
1637,12042
1638,12043
1639,12044
1640,12045
1641,12046
1642,12048
1643,12049
1644,12051
1645,12052
1646,12053
1647,12056
1648,12057
1649,12058
1650,12060
1651,12062
1652,12063
1653,12067
1654,12068
1655,12070
1656,12071
1657,12072
1658,12073
1659,12074
1660,12076
1661,12077
1662,12078
1663,12079
1664,12080
1665,12081
1666,12082
1667,12083
1668,12084
1669,12085
1670,12086
1671,12087
1672,12088
1673,12089
1674,12090
1675,12091
1676,12093
1677,12094
1678,12095
1679,12096
1680,12097
1681,12099
1682,12100
1683,12101
1684,12102
1685,12103
1686,12104
1687,12106
1688,12107
1689,12110
1690,12111
1691,12112
1692,12113
1693,12114
1694,12115
1695,12117
1696,12118
1697,12119
1698,12120
1699,12121
1700,12122
1701,12123
1702,12125
1703,12126
1704,12127
1705,12128
1706,12129
1707,12130
1708,12131
1709,12134
1710,12135
1711,12136
1712,12137
1713,12138
1714,12139
1715,12140
1716,12141
1717,12142
1718,12143
1719,12144
1720,12145
1721,12146
1722,12147
1723,12148
1724,12149
1725,12152
1726,12153
1727,12154
1728,12155
1729,12156
1730,12157
1731,12158
1732,12159
1733,12160
1734,12161
1735,12162
1736,12163
1737,12164
1738,12165
1739,12166
1740,12167
1741,12168
1742,12169
1743,12171
1744,12173
1745,12174
1746,12175
1747,12176
1748,12177
1749,12178
1750,12179
1751,12180
1752,12181
1753,12185
1754,12186
1755,12187
1756,12188
1757,12189
1758,12190
1759,12191
1760,12192
1761,12193
1762,12194
1763,12195
1764,12196
1765,12197
1766,12198
1767,12199
1768,12200
1769,12201
1770,12202
1771,12205
1772,12206
1773,12207
1774,12208
1775,12209
1776,12210
1777,12211
1778,12213
1779,12214
1780,12215
1781,12217
1782,12218
1783,12221
1784,12222
1785,12223
1786,12224
1787,12225
1788,12226
1789,12227
1790,12228
1791,12229
1792,12230
1793,12231
1794,12233
1795,12235
1796,12236
1797,12237
1798,12238
1799,12240
1800,12241
1801,12242
1802,12243
1803,12244
1804,12245
1805,12246
1806,12248
1807,12250
1808,12251
1809,12252
1810,12253
1811,12254
1812,12257
1813,12258
1814,12259
1815,12260
1816,12261
1817,12262
1818,12264
1819,12265
1820,12266
1821,12267
1822,12268
1823,12269
1824,12270
1825,12271
1826,12272
1827,12273
1828,12274
1829,12275
1830,12276
1831,12277
1832,12278
1833,12279
1834,12280
1835,12281
1836,12282
1837,12283
1838,12284
1839,12285
1840,12288
1841,12291
1842,12293
1843,12299
1844,12307
1845,12308
1846,12309
1847,12310
1848,12311
1849,12312
1850,12319
1851,12320
1852,12323
1853,12324
1854,12325
1855,12326
1856,12328
1857,12329
1858,12330
1859,12331
1860,12332
1861,12337
1862,12338
1863,12339
1864,12340
1865,12341
1866,12342
1867,12343
1868,12345
1869,12347
1870,12348
1871,12349
1872,12350
1873,12352
1874,12353
1875,12354
1876,12355
1877,12356
1878,12357
1879,12358
1880,12359
1881,12360
1882,12362
1883,12363
1884,12364
1885,12365
1886,12366
1887,12367
1888,12368
1889,12369
1890,12373
1891,12374
1892,12376
1893,12377
1894,12379
1895,12380
1896,12382
1897,12383
1898,12384
1899,12385
1900,12388
1901,12389
1902,12390
1903,12391
1904,12392
1905,12395
1906,12396
1907,12397
1908,12398
1909,12399
1910,12400
1911,12401
1912,12402
1913,12403
1914,12405
1915,12406
1916,12408
1917,12409
1918,12410
1919,12411
1920,12413
1921,12424
1922,12431
1923,12432
1924,12437
1925,12439
1926,12440
1927,12444
1928,12446
1929,12447
1930,12448
1931,12449
1932,12450
1933,12451
1934,12452
1935,12454
1936,12455
1937,12456
1938,12458
1939,12459
1940,12464
1941,12467
1942,12472
1943,12473
1944,12475
1945,12476
1946,12477
1947,12478
1948,12479
1949,12480
1950,12481
1951,12484
1952,12485
1953,12486
1954,12487
1955,12488
1956,12489
1957,12490
1958,12491
1959,12492
1960,12493
1961,12494
1962,12495
1963,12496
1964,12497
1965,12498
1966,12499
1967,12500
1968,12501
1969,12502
1970,12503
1971,12504
1972,12505
1973,12506
1974,12507
1975,12509
1976,12511
1977,12513
1978,12514
1979,12515
1980,12516
1981,12521
1982,12522
1983,12523
1984,12527
1985,12528
1986,12538
1987,12539
1988,12540
1989,12541
1990,12542
1991,12543
1992,12546
1993,12556
1994,12557
1995,12558
1996,12559
1997,12560
1998,12562
1999,12566
2000,12567
2001,12568
2002,12569
2003,12570
2004,12572
2005,12573
2006,12574
2007,12575
2008,12576
2009,12577
2010,12579
2011,12580
2012,12581
2013,12582
2014,12583
2015,12584
2016,12585
2017,12586
2018,12587
2019,12588
2020,12591
2021,12592
2022,12593
2023,12599
2024,12615
2025,12619
2026,12622
2027,12623
2028,12626
2029,12627
2030,12629
2031,12635
2032,12636
2033,12637
2034,12639
2035,12640
2036,12641
2037,12644
2038,12645
2039,12650
2040,12660
2041,12662
2042,12663
2043,12667
2044,12668
2045,12669
2046,12678
2047,12680
2048,12681
2049,12682
2050,12683
